"key","direction","core","title","year","venue","scenario","surface_or_architecture","method_and_output","main_boundary_for_this_route","preprint_or_open_url","doi","local_evidence","evidence_status"
"kalor2021blockage","2","true","Prediction of mmWave/THz Link Blockages Through Meta-Learning and Recurrent Neural Networks","2021","IEEE WCL","毫米波/太赫兹部署间阻塞预测","一般无线链路；无 DMA/RHS","RNN 与 MAML；输出未来阻塞标签","没有表面可实现状态和波束控制","https://arxiv.org/abs/2106.07442","10.1109/LWC.2021.3118269","../sources/fulltext/d2_kalor2021_blockage_prediction.pdf","预印本已核验"
"yang2023localization","2","false","Near-Field Localization with Dynamic Metasurface Antennas","2023","ICASSP","单用户静态近场定位","DMA 球面波和配置设计","定位估计与 CRB；输出位置","没有连续移动、阻塞和预测控制","https://arxiv.org/abs/2210.16085","10.1109/ICASSP49357.2023.10097166","../sources/fulltext/d2_yang2023_dma_localization.pdf","预印本已核验"
"gavras2025thzlocalization","2","false","Near-Field Localization with Dynamic Metasurface Antennas at THz: A CRB Minimizing Approach","2025","IEEE WCL","太赫兹单用户静态近场","离散 DMA 状态","CRB 最小化表面配置；输出位置下界","没有移动序列和阻塞控制","https://arxiv.org/abs/2502.16647","10.1109/LWC.2025.3553366","../sources/fulltext/d2_gavras2025_thz_dma_localization.pdf","预印本已核验"
"chafaa2026coherence","2","false","Deep Learning Prediction of Beam Coherence Time for Near-Field Terahertz Networks","2026","IEEE WCL","太赫兹近场移动","传统大阵列","前馈网络；输出波束相干时间","没有联合下一波束、表面状态和主动探测","https://arxiv.org/abs/2511.01491","10.1109/LWC.2025.3629571","../sources/fulltext/d2_chafaa2026_beam_coherence.pdf","预印本已核验"
"weng2025blockageresilient","2","false","Learning-Based Blockage-Resilient Beam Training in Near-Field Terahertz Communications","2025","arXiv","太赫兹近场单次抗阻塞训练","Airy 波束；非 DMA","注意力多任务网络；输出角度距离曲率","没有阻塞时间演化和连续控制","https://arxiv.org/abs/2510.25433","","../sources/fulltext/d2_weng2025_blockage_resilient_training.pdf","预印本已核验"
"wang2025nearfieldtracking","2","false","Near-Field Beam Training and Tracking With Deep Learning for Extremely Large-Scale MIMO","2025","IEEE TVT","单用户近场训练与跟踪","传统超大规模阵列","CNN 训练和 LSTM 跟踪；输出波束","没有 DMA/RHS 状态和阻塞预测","https://doi.org/10.1109/TVT.2025.3583574","10.1109/TVT.2025.3583574","../sources/fulltext/d2_wang2025_dl_beam_tracking.pdf","作者稿已核验"
"deng2022rhs","3","false","Reconfigurable Holographic Surface-Enabled Multi-User Wireless Communications: Amplitude-Controlled Holographic Beamforming","2022","IEEE TWC","单站多用户下行","RHS 幅度控制全息波束","集中式联合优化；输出数字和全息波束","没有多节点、有限消息和局部观测","https://doi.org/10.1109/TWC.2022.3144992","10.1109/TWC.2022.3144992","../sources/fulltext/d3_deng2022_rhs_multiuser.pdf","全文已核验"
"kimaryo2023downlink","3","false","Downlink Beamforming for Dynamic Metasurface Antennas","2023","IEEE TWC","单站单/多用户下行","DMA 洛伦兹幅相约束","加权和速率优化；输出波束","没有 cell-free 和有限协同","https://doi.org/10.1109/TWC.2022.3228272","10.1109/TWC.2022.3228272","","在线作者稿已核验；本地副本未保存"
"zhang2025multiusertraining","3","false","Holographic-Pattern Based Multi-User Beam Training in RHS-Aided Hybrid Near-Field and Far-Field Communications","2025","IEEE TWC","单站混合近远场多用户","RHS 全息图样叠加","多用户角度距离训练；输出波束参数","没有多节点协调和数据波束联合","https://arxiv.org/abs/2411.04382","10.1109/TWC.2025.3569654","../sources/fulltext/d3_zhang2025_rhs_multiuser_training.pdf","预印本已核验"
"altinoklu2026qos","3","false","Investigation of Holographic Beamforming via Dynamic Metasurface Antennas in QoS Guaranteed Power Efficient Networks","2026","IEEE TWC","近场多用户 QoS 下行","DMA 洛伦兹约束和有限射频链","发射功率最小化；输出波束","没有多节点和消息预算","https://arxiv.org/abs/2411.05659","10.1109/TWC.2026.3651852","../sources/fulltext/d3_altinoklu2026_dma_qos.pdf","预印本已核验"
"zou2025gnn","3","true","Graph Neural Network Aided Beamforming for Holographic Millimeter Wave MIMO Systems","2025","IEEE TVT","单站多用户毫米波","H-MIMO/RHS 波束","GNN 从导频到波束；优化和速率","没有多接入点和有限比特消息","https://doi.org/10.1109/TVT.2025.3544063","10.1109/TVT.2025.3544063","","在线作者接受稿已核验；本地副本未保存"
"chen2025hmimolearning","3","false","Learning-Based Multiuser Beamforming for Holographic MIMO Systems","2025","arXiv","单站多用户下行","H-MIMO 结构约束","等变模型驱动 DNN；输出数字和全息波束","没有分布式局部观测和量化消息","https://arxiv.org/abs/2504.19522","","../sources/fulltext/d3_chen2025_model_dnn_hmimo.pdf","预印本已核验"
"du2025cellfree","3","true","Joint User Association and Beamforming for Dynamic Metasurface Antenna Based Cell-Free mmWave MIMO Systems","2025","IEEE TVT","近场用户中心 cell-free 毫米波","DMA 洛伦兹约束和有限前传","PDD/AO；输出关联、压缩和波束","主模型完美 CSI；没有端到端消息学习和完全分布式","https://doi.org/10.1109/TVT.2025.3584846","10.1109/TVT.2025.3584846","../sources/fulltext/d3_du2025_cellfree_dma.pdf","IEEE 正式全文已核验"
"katsanos2026cellfree","3","true","Robust Beamforming for Cell-Free Systems with Parallel-Plate-Waveguided Dynamic Metasurfaces","2026","arXiv","cell-free OFDM 与非理想 CSI","PPW-DMA 频响和互耦","并行鲁棒优化与少量交换；输出波束","没有学习消息量化和跨拓扑复用","https://arxiv.org/abs/2605.03538","","../sources/fulltext/d3_katsanos2026_cellfree_dma.pdf","预印本已核验"
"geng2025offloading","4","true","H-MIMO-Assisted Task Offloading for Distributed Edge Computing","2025","IEEE TCOM","单终端分布式边缘卸载","终端 RHS/H-MIMO 发射","BCD/ADMM；输出任务比例、CPU 和波束","任务仅由比特与周期表示；无特征准确率","https://doi.org/10.1109/TCOMM.2025.3562524","10.1109/TCOMM.2025.3562524","../sources/fulltext/d4_geng2025_hmimo_task_offloading.pdf","IEEE 正式全文已核验"
"wu2026thzrhs","4","false","THz RHS Transceiver for Low-Latency Multi-User VR Transmission with MEC","2026","arXiv","太赫兹多用户 VR/MEC","RHS 收发机、移动和互耦","双时间尺度优化；输出预取、渲染和波束","应用为 VR 管线；无通用分割推理与准确率","https://arxiv.org/abs/2603.01888","","../sources/fulltext/d4_wu2026_thz_rhs_vr_mec.pdf","预印本已核验"
"zeng2026semantic","4","true","Holographic Beamforming for Semantic Communication","2026","IEEE TWC","多用户图像语义传输","RHS 全息波束","重要性-SNR-损失拟合与资源优化；输出波束","没有模型切分、边缘 GPU 和尾时延","https://arxiv.org/abs/2606.20887","10.1109/TWC.2026.3707475","../sources/fulltext/d4_zeng2026_holographic_semantic.pdf","预印本已核验"
"huang2025simsemantic","4","false","Stacked Intelligent Metasurfaces for Task-Oriented Semantic Communications","2025","IEEE WCL","图像分类任务通信","SIM 多层波域网络","端到端训练；输出分类","硬件不是波导馈电 DMA/RHS；无切分和边缘资源","https://arxiv.org/abs/2407.15053","10.1109/LWC.2024.3499970","../sources/fulltext/d4_huang2025_sim_semantic.pdf","预印本已核验"
"stylianopoulos2026dynamic","4","false","Integrating Stacked Intelligent Metasurfaces and Power Control for Dynamic Edge Inference via Over-the-Air Neural Networks","2026","ICASSP","动态衰落下图像分类","SIM 与功率控制","端到端训练；输出分类和功率","硬件不是 DMA/RHS；没有可变切分和 GPU 竞争","https://arxiv.org/abs/2509.18906","10.1109/ICASSP55912.2026.11463452","../sources/fulltext/d4_stylianopoulos2026_sim_edge_inference.pdf","预印本已核验"
"shao2023taskoriented","4","false","Task-Oriented Communication for Multi-Device Cooperative Edge Inference","2023","IEEE TWC","多设备协同边缘推理","一般无线链路","信息瓶颈与选择性重传；输出任务特征","没有 DMA/RHS 和太赫兹物理约束","https://arxiv.org/abs/2109.00172","10.1109/TWC.2022.3191118","../sources/fulltext/d4_shao2023_multidevice_edge_inference.pdf","预印本已核验"
"xie2025modelagnostic","4","false","Toward Real-Time Edge AI: Model-Agnostic Task-Oriented Communication with Visual Feature Alignment","2025","IEEE JSAC","异构端边模型的实时推理","一般无线链路","特征空间对齐；输出任务特征","没有 DMA/RHS 表面状态和物理链路","https://arxiv.org/abs/2412.00862","10.1109/JSAC.2025.3623175","../sources/fulltext/d4_xie2025_model_agnostic_edge_ai.pdf","预印本已核验"
"balevi2026unified","4","true","A Unified Framework for Task-Oriented Communication at Edge AI","2026","IEEE TCOM","多任务可配置分割推理","数字或 JSCC；AWGN/单抽头 Rayleigh","统一张量图和 sLoRA；输出任务结果","未联合最优切分、太赫兹近场和 DMA/RHS 状态","https://doi.org/10.1109/TCOMM.2025.3650276","10.1109/TCOMM.2025.3650276","../sources/fulltext/d4_balevi2026_unified_task_comm.pdf","IEEE 正式全文已核验"
"stylianopoulos2026minn","4","false","Over-the-Air Edge Inference via End-to-End Metasurfaces-Integrated Artificial Neural Networks","2026","IEEE TWC","端到端分割边缘推理","RIS/SIM 参数化信道作为网络中间层","反向传播式联合训练；输出任务预测","不是波导馈电 DMA/RHS；无太赫兹近场、最优切分和 GPU 编排","https://arxiv.org/abs/2504.00233","10.1109/TWC.2026.3674047","","新增直接相邻工作；预印本与正式元数据已核验"
"zhang2025tensorofdm","1","true","Tensor-Based Channel Estimation for Extremely Large-Scale MIMO-OFDM With Dynamic Metasurface Antennas","2025","IEEE TWC","基站侧发射 DMA 的 XL-MIMO-OFDM；远场几何多径；跨帧/子帧/导频子载波联合估计","主推导采用固定波导传播常数和无频率下标的洛伦兹权重；Fig. 11 另测试频变传播常数与互耦失配","微带顺序训练、四阶 CP 张量及两阶段参数提取；恢复宽带信道；给出唯一性条件","少量时域测量与多子载波结构恢复已有；频变波导造成误差地板也已有；未在估计器和训练设计中联合利用真实单元谐振频响以替代时间扫描","https://doi.org/10.1109/TWC.2025.3551144","10.1109/TWC.2025.3551144","https://www.researchgate.net/publication/390217504_Tensor-Based_Channel_Estimation_for_Extremely_Large-Scale_MIMO-OFDM_With_Dynamic_Metasurface_Antennas","2026-09-06 作者上传全文关键章节在线核对：Sec. II–III 式(1)–(16)、Sec. VI Fig. 11；本地 PDF 下载受限；不是仅摘要判断"
"wang2021dmaofdmadc","1","false","Dynamic Metasurface Antennas for MIMO-OFDM Receivers With Bit-Limited ADCs","2021","IEEE TCOM","上行多用户 MIMO-OFDM 接收；比特受限 ADC","频率选择性 DMA 模拟滤波、馈电响应、低维射频输出；等效通道记忆与 CP","基于 CSI 的 DMA 与数字接收器设计；输出 OFDM 数据符号","支持稳定频率选择性 DMA 与 OFDM 共存；不是低导频信道估计，也不能据此宣称符合某一太赫兹标准","https://www.weizmann.ac.il/math/yonina/sites/math.yonina/files/ADC.pdf","10.1109/TCOMM.2020.3040761","../sources/fulltext/d1_wang2021_dma_ofdm_bitlimited_adc.pdf","2026-09-06 作者机构正式全文已保存；Sec. II 式(7)及 CP 前提已核对；抽取文本同名"
"3gpp2025ts38211v1910","common","false","NR; Physical channels and modulation (3GPP TS 38.211 version 19.1.0 Release 19)","2025","ETSI TS 138 211 V19.1.0","NR 帧结构、资源栅格与 OFDM 基带生成","通信规范；非 DMA 硬件模型","定义符号、时隙、资源元素和波形","仅用于区分 OFDM 符号、时隙和导频资源；不证明太赫兹 DMA 已标准化或本方案已合规","https://www.etsi.org/deliver/etsi_TS/138200_138299/138211/19.01.00_60/ts_138211v190100p.pdf","","../sources/fulltext/common_3gpp_ts38211_v19_1_0.pdf","2026-09-06 官方 PDF 已保存；Sec. 4.3.2、4.4.3、5.3.1 已定位；本轮引用指定版本而非声称最新"
"itur2022p67613","common","false","Attenuation by atmospheric gases and related effects","2022","ITU-R Recommendation P.676-13","地面与倾斜路径的大气气体衰减","氧气、水汽谱线及相关大气效应","逐线与近似计算方法；输出气体衰减","仅作用户吸收系数表的投稿前交叉校核；不能补足该表缺失的 HITRAN 版本与环境参数","https://www.itu.int/rec/R-REC-P.676/en","","","2026-09-07 官方页面核验：2022-08 批准，P.676-13 当前有效；本轮未将其实现为仿真模型"
